"Date","SPY","QQQ","IWM","VEA","VWO","AGG","TLT","LQD","VNQ","GLD"
2023-04-20,396.354553222656,310.767608642578,171.100296020508,41.953125,36.6758766174316,88.948356628418,92.9766311645508,95.4808120727539,72.954345703125,186.089996337891
2023-04-21,396.662536621094,311.091796875,171.322189331055,42.0891914367676,36.3303070068359,88.7961196899414,92.4541549682617,95.5421600341797,72.9631881713867,184.25
2023-04-24,397.076293945312,310.443359375,171.206405639648,42.1708297729492,36.2848358154297,89.1453247070312,93.3485641479492,95.9629058837891,72.688591003418,184.809997558594
2023-04-25,390.773223876953,304.587249755859,166.980270385742,41.5086441040039,35.666446685791,89.7005157470703,94.7212142944336,96.3836212158203,71.9711074829102,185.75
2023-04-26,389.118072509766,306.434448242188,165.368942260742,41.5177192687988,35.9119834899902,89.3692092895508,93.7116546630859,95.9629058837891,71.2801818847656,184.740005493164
2023-04-27,396.864624023438,314.766662597656,167.578460693359,42.0438270568848,36.3757781982422,89.0468444824219,92.7817611694336,95.6122512817383,72.892333984375,184.75
2023-04-28,400.251922607422,316.938140869141,169.045120239258,42.0528984069824,36.5940322875977,89.5035247802734,94.2784118652344,96.3573455810547,73.786994934082,184.800003051758
2023-05-01,399.847747802734,316.574615478516,169.141571044922,42.0166168212891,36.4758148193359,88.587028503418,91.5599365234375,94.8023681640625,73.2378005981445,183.970001220703
2023-05-02,395.353759765625,313.813598632812,165.668045043945,41.572151184082,36.0938606262207,89.4487686157227,93.8416213989258,95.9457321166992,71.9976654052734,187.520004272461
2023-05-03,392.640075683594,311.759979248047,166.275939941406,41.6537742614746,36.0847663879395,89.8437118530273,94.3654251098633,96.1040420532227,71.714225769043,189.110000610352
2023-05-04,389.859008789062,310.659545898438,164.413711547852,41.5902862548828,36.3939628601074,89.7360153198242,93.4332275390625,95.8401947021484,72.3077011108398,190.440002441406
2023-05-05,397.076293945312,317.262420654297,168.32145690918,42.2615356445312,36.7850036621094,89.4487686157227,93.1225204467773,95.4619979858398,73.5123901367188,187.460006713867
2023-05-08,397.18212890625,318.048492431641,167.935531616211,42.2796745300293,36.7940940856934,88.9550476074219,91.8174362182617,94.7759704589844,73.0872116088867,187.690002441406
2023-05-09,395.440399169922,316.034210205078,167.43376159668,42.116397857666,36.5667457580566,88.8742828369141,91.4889221191406,94.7408142089844,72.7771835327148,189.020004272461
2023-05-10,397.287994384766,319.473175048828,168.282852172852,42.0528984069824,36.5758399963379,89.4487686157227,92.3767547607422,95.488395690918,73.4769515991211,188.75
2023-05-11,396.595245361328,320.514801025391,166.989959716797,41.8624153137207,36.4303398132324,89.7180328369141,93.3532943725586,95.8577728271484,72.6708831787109,187.130004882812
2023-05-12,396.075500488281,319.365142822266,166.652206420898,41.7717018127441,36.021110534668,89.2153930664062,92.5720443725586,95.2685165405273,72.6620254516602,186.809997558594
2023-05-15,397.441986083984,321.094451904297,168.688095092773,42.1345405578613,36.6485977172852,88.9909591674805,91.6132125854492,94.7583618164062,72.5380096435547,187.210006713867
2023-05-16,394.786010742188,321.457977294922,166.227691650391,41.6991424560547,36.3939628601074,88.7844924926758,91.3379974365234,94.2834701538086,70.7221221923828,184.869995117188
2023-05-17,399.578338623047,325.348937988281,169.932769775391,41.9168395996094,36.5212745666504,88.6498641967773,91.071662902832,94.2746658325195,71.6787719726562,184.229995727539
2023-05-18,403.427520751953,331.391723632812,170.965225219727,41.835205078125,36.2939262390137,88.2369537353516,90.3969039916992,93.8788757324219,71.3333206176758,181.839996337891
2023-05-19,402.840515136719,330.64501953125,169.923141479492,42.0891914367676,36.2757453918457,88.0394821166992,89.7576751708984,93.7645568847656,71.2181701660156,183.639999389648
